Question,label
"Six fair dice are rolled simultaneously. Determine the probability that the sum of the numbers shown is exactly 21, expressed as a percentage to the nearest hundredth.",3
"Given a set of n data points (xi, yi) where xi are distinct real numbers, find the quadratic function f(x) = ax^2 + bx + c that minimizes the sum of squared vertical distances ∑(i=1 to n) (yi - f(xi))^2.",2
"A data scientist defines an ""interesting"" dataset as one where [log₅(variance)] - [log₅(mean)] is odd, with [·] representing the floor function. If a collection of datasets has means uniformly distributed between 10 and 100, and variances lognormally distributed with parameters μ = 3 and σ = 1, what's the probability that a randomly selected dataset is ""interesting""?",3
"Find the minimum value of the sum of squared differences between all pairs of temperatures recorded during a week, given that the temperatures are real numbers between 0°C and 40°C.",2
Determine whether the polynomial $x^3 + 2x + 1$ is reducible over the field $\mathbb{F}_5$.,7
"Given the parametric equations x(t) = t^2 - 2t and y(t) = t^3 - 3t, find the equation of the tangent line to this curve at the point where t = 2.",2
"For the function h(x) = x^(1/3) * sin(1/x) with h(0) = 0, investigate its differentiability at x = 0.",2
"A playlist shuffler generates permutations of n distinct songs. It's considered ""fair"" if, for any two songs, the probability that one appears immediately after the other is the same for all pairs of songs. How many such ""fair"" shuffling algorithms exist for a playlist of 8 songs?",5
"Let X be a compact Hausdorff space and Y be a metric space. Suppose f: X → Y is continuous and g: X → Y is a function such that d(f(x), g(x)) < ε for all x ∈ X, where d is the metric on Y. Prove that g is continuous.",7
"A sequence is defined by a_n = √(m/n) + √(n/m), where m and n are positive integers. If a_n is always an integer, what is the sum of all possible values of m + n?",4
"Consider a Markov chain with n states, where n is odd and greater than 3. If the transition matrix P has entries p_ij = (1 + cos((i-j)2π/n))/n, find the eigenvalues of P.",6
"Let X be a topological space. Prove that if every continuous function f: X → ℝ (where ℝ has the standard topology) is constant, then X is connected.",7
In how many ways can 8 identical red balls and 5 identical blue balls be arranged in a line if no two blue balls can be adjacent?,5
"In a game show, contestants spin a wheel with 20 equally sized sectors. 8 sectors are red, 7 are blue, and 5 are green. The wheel is spun twice. Calculate the probability that at least one spin lands on blue, given that the two spins are different colors. Give your answer as a percentage rounded to the nearest whole number.",3
"A local chess tournament uses a single-elimination bracket system. If 64 players participate and each match eliminates one player, how many total matches are played before a champion is crowned?",5
"In a survey, respondents rate their satisfaction on a scale from 1 to 10. Let Z = [S/2], where S is a randomly selected satisfaction score and [x] is the floor function. Find P(Z is even), given that the satisfaction scores are uniformly distributed.",3
"In an isosceles trapezoid, the parallel sides measure 15 cm and 25 cm, while the non-parallel sides each measure 13 cm. Find the height of the trapezoid to the nearest millimeter.",1
Consider the ring Z[i] of Gaussian integers. Demonstrate that the ideal generated by 2+i is maximal in Z[i].,7
"In a right circular cone, the radius of the base is r and the height is h. A plane parallel to the base cuts the cone, creating a smaller cone. If the volume of the smaller cone is 1/8 of the original cone's volume, express the height of the smaller cone in terms of h. Then, find the ratio of the lateral surface area of the smaller cone to that of the original cone.",1
A data scientist is analyzing a large dataset. She defines a 'quirky number' as any positive integer n where the fractional part of log₃(n) is less than 0.5. What percentage of integers from 1 to 1000 are quirky numbers?,3
A binary string of length 8 is generated randomly. What is the expected number of '1' bits that will appear before the first '0' bit? Express your answer as a simplified fraction.,5
"A factory produces light bulbs with a 5% defect rate. If 20 bulbs are randomly selected and tested, what is the probability of finding exactly 2 defective bulbs? Give your answer as a percentage rounded to two decimal places.",3
"A sequence is defined by the rule: an = √(k/xn) + √(19/yn), where k is a constant, and xn and yn are positive integers. If an is always a rational number, find the product of all possible values of k.",4
"A cryptographer designs a $m \times m$ key matrix $K$ where $k_{ij} = (i+j) \bmod m$. For $m=7$, determine whether $K$ is invertible.",6
Determine whether the following improper integral converges or diverges: ∫[0 to ∞] (sin(x) / x^(1/3)) dx. Justify your answer.,2
"In a group of 30 people, each person is asked to choose their favorite color from red, blue, green, or yellow. How many different possible outcomes are there if at least 5 people must choose each color?",5
A number N is chosen at random from the set of positive integers less than 10000. What is the probability that N has exactly 4 distinct prime factors?,4
"For the function h(s,t) = s*t * ln(s^2 + t^2) / (s^2 + t^2) when (s,t) ≠ (0,0), and h(0,t) = h(s,0) = 0, evaluate lim(s,t)→(0,0) h(s,t).",2
"A conical pile of sand is being formed as sand falls from a conveyor belt. The height of the pile is always 3/4 of its base diameter. If the volume of the pile increases at a constant rate of 10 cubic meters per minute, how fast is the height of the pile changing when the height is 3 meters?",2
"Six fair dice are rolled simultaneously. Calculate the probability of getting a sum of exactly 21 on the upward faces, expressed as a percentage rounded to two decimal places.",3
"Consider a 3D rotation matrix R that rotates a vector by θ degrees around the x-axis. If the determinant of R is 1, express θ in terms of π.",6
"A conical pile of sand is being formed by pouring sand from above. If the height h and radius r of the cone always satisfy the relationship h = 2r, at what rate is the volume of the pile increasing when the radius is 5 meters and sand is being added at a rate of 12 cubic meters per minute?",2
"A scientist records data points in 3D space. The vectors u = (2, -1, 3) and v = (1, 2, -2) represent two of these points. How many integer values of k exist such that the dot product of u and (k, k+1, k-1) equals the magnitude of v squared?",6
"Two fair six-sided dice are rolled. Let A be the event that the sum of the dice is even, and B be the event that at least one die shows a 6. What is P(A|B), expressed as a decimal to three places?",3
"A positive integer is called ""palindromic"" if it reads the same forwards and backwards in base 10. How many palindromic numbers less than 10000 are divisible by their digital sum?",4
"A chemist is mixing two solutions. Solution A contains 30% acid and Solution B contains 50% acid. How many milliliters of each solution should be mixed to create 100 mL of a 35% acid solution? Let x be the amount of Solution A and y be the amount of Solution B. (A) x = 75, y = 25 (B) x = 70, y = 30 (C) x = 65, y = 35 (D) x = 60, y = 40 (E) x = 55, y = 45",6
"In a social network analysis, connections between users are represented by an adjacency matrix A. If A[i,j] = 1 when user i follows user j, and 0 otherwise, what does the matrix product A^T * A represent? Explain the meaning of the diagonal elements in this resulting matrix.",6
"Consider a Markov chain with n states, represented by a transition matrix T. If the element t_ij is defined as the probability of transitioning from state i to state j, and is equal to 1 / (|i - j| + 1) for all i ≠ j, what is the algebraic multiplicity of the eigenvalue 1 for matrix T?",6
"Let g(x,y) = √(|xy|) * sin(1/√(x^2+y^2)) for (x,y) ≠ (0,0), and g(0,0) = 0. Find lim_(x,y)→(0,0) g(x,y) if it exists.",2
Let σ(n) represent the sum of all positive divisors of n. What is the largest value of n ≤ 1000 for which σ(n) is a perfect square?,4
"Determine the maximum possible value of Π(i=1 to n)(fi'(xi))^2, where fi are differentiable functions on [a, b] and x1, x2, ..., xn are distinct points in [a, b], subject to the constraint Σ(i=1 to n)fi(xi) = C for some constant C.",2
"Let V be an n-dimensional vector space over R, and T: V → V be a linear transformation such that T^n = I (the identity transformation) but T^k ≠ I for any 1 ≤ k < n. Prove that the eigenvalues of T are precisely the n-th roots of unity, and find the algebraic multiplicity of each eigenvalue.",6
"A regular dodecagon is inscribed in a circle. If the radius of the circle is 10 units, what is the area of the region between the dodecagon and the circle? Give your answer in terms of π and rounded to two decimal places.",1
"A survey is conducted where respondents are asked to rate a product on a scale from 1 to 5 stars. The true distribution of ratings in the population is: 1 star (5%), 2 stars (15%), 3 stars (30%), 4 stars (35%), 5 stars (15%). If 200 people are randomly sampled, what is the probability that the median rating in the sample is 4 stars?",3
"Prove that if a ring R has a unity element and every non-zero element in R is a unit, then R is a field.",7
"A librarian is arranging books on a shelf. She has 8 fiction and 7 non-fiction books. How many ways can she arrange the books if all fiction books must be placed together and all non-fiction books must be placed together, but the order within each group can vary?",5
"For the linear system: ax + by = c and dx + ey = f, which condition guarantees a unique solution? (A) ae - bd ≠ 0 (B) a + b = c (C) d + e = f (D) ad = bc (E) ae = bd",6
A factory produces widgets with a 5% defect rate. Quality control randomly selects 20 widgets for inspection. What's the probability that at least 2 defective widgets will be found in this sample? Give your answer as a percentage rounded to the nearest whole number.,3
"An economist models the relationship between GDP (G), unemployment rate (U), and inflation rate (I) using the system: 2G - U + 3I = 18 G + 2U - I = 7 3G - 2U + I = 15 Solve this system. What does the solution represent in economic terms?",6
"A chess grandmaster plays a series of games against different opponents. Each game results in either a win, loss, or draw. The probability of winning each game is 0.6, losing is 0.3, and drawing is 0.1. What is the probability that in a tournament of 10 games, the grandmaster wins exactly 7 games, loses 2, and draws 1? Give your answer as a decimal rounded to 6 decimal places.",5
"A bag contains 5 red, 3 green, and 2 blue balls. Two balls are drawn without replacement. Given that the first ball drawn is red, what is the probability that the second ball is also red?",3
"A deck of 52 cards contains 13 cards of each suit (hearts, diamonds, clubs, spades). Cards are drawn one at a time without replacement. What is the probability that the first three cards drawn are all different suits?",3
Prove that the intersection of any family of subgroups of a group $G$ is itself a subgroup of $G$.,7
Let S(n) be the sum of the proper divisors of n. How many numbers less than or equal to 200 are equal to S(n) for some positive integer n?,4
"A rectangular grid of LEDs forms a display panel. Each LED can be in one of three states: red, green, or off. A valid pattern must have exactly one LED lit in each row and column. How many distinct valid patterns are possible on a 7x7 grid? Express your answer as a product of prime factors.",5
"Determine the existence and value of the following limit:  lim_(θ,r)->0 [r * ln(1 + θ^2/r) + θ * arctan(r/θ)]  Where the function is defined as g(θ,r) = 0 when θ = 0 or r = 0.",2
Let $B$ be a $k \times k$ matrix where each element $b_{ij}$ is defined as the product of the row and column indices: $b_{ij} = i \cdot j$. Determine the rank of matrix $B$ for any positive integer $k$.,6
"Define p(x,y) = (x^4 - y^4) / (x^2 + y^2)^2 for (x,y) ≠ (0,0), and p(0,0) = 0. Determine if p is continuous at (0,0) and justify your answer.",2
"In a survey of 1000 people, each person is asked to name their favorite color. The results are normally distributed with a mean of 5 letters per color name and a standard deviation of 1.5 letters. What is the probability that when a random survey respondent is selected, their favorite color has a name with more than 7 letters?",3
"A hyperbola has its center at the origin and transverse axis along the x-axis. Its eccentricity is e = √(5/4), and the distance between its vertices is 6. A tangent line to this hyperbola passes through the point (2, 3). Find the equation of the hyperbola and determine the slope of the tangent line at the point of tangency.",1
"Let v⃗ = (2, -1, 3) and w⃗ = (cos θ, sin θ, 1) be two vectors in R³. Find the range of possible values for the dot product v⃗ · w⃗, and determine the conditions on θ that would result in the maximum and minimum values of this dot product.",6
A fair six-sided die is rolled repeatedly. What's the expected number of rolls needed before the product of all distinct numbers rolled equals 40320?,5
"For positive real numbers a_1, a_2, ..., a_n, find the maximum value of the expression: (a_1 + a_2)^2 + (a_2 + a_3)^2 + ... + (a_n + a_1)^2 subject to the constraint a_1 + a_2 + ... + a_n = 1.",2
"Find the volume of the solid obtained by rotating the region bounded by y = sin(x), y = 0, and x = π/2 about the y-axis.",2
"Consider a $n \times n$ matrix $A$ where the element in the $i$-th row and $j$-th column is given by $a_{ij} = \max(i,j)$. Calculate the determinant of $A$ for a general $n$.",6
For how many positive integers k less than 1000 is the number $2^k + k^2$ prime?,4
A fair six-sided die is rolled 4 times. Calculate the probability of getting a sum of exactly 20 across all four rolls.,3
"A box contains 5 green pens, 3 blue pens, and 2 red pens. Two pens are drawn without replacement. Given that the first pen drawn is green, what is the probability that the second pen is also green?",3
"A social network grows according to the following rules: It starts with 1 user. Each day, every existing user invites a number of new users equal to their position in the network (the first user invites 1, the second invites 2, and so on). Calculate the total number of users after 30 days, assuming all invitations are accepted and no user leaves the network.",5
"A number theorist discovers that for certain positive integers a and b, the sum √(5/a) + √(13/b) always equals 1/4. Find the total count of possible (a, b) pairs.",4
"In a regular hexagon ABCDEF with side length 1, point P is chosen randomly inside the hexagon. What is the probability that the distance from P to the center of the hexagon is less than or equal to 1/2? Express your answer as a decimal rounded to three places.",1
"For a continuous function g:[0,2π]→ℝ, find the supremum of ∫(0 to 2π) |g(t) - g(t+θ)|² dt over all θ in [0,2π], where g is extended periodically outside [0,2π].",2
"A printer can print 30 pages per minute, but it needs to pause for 2 minutes after every 100 pages to cool down. If 1000 pages need to be printed, how long will the entire print job take in minutes?",0
"A manufacturing process produces defective items with a probability of 0.05. If 20 items are randomly selected for quality control, what is the expected number of defective items in this sample?",3
Find the smallest positive integer n for which there exist prime numbers p and q satisfying: p^n + q^n = (p+q)^(n-1) and p*q is not divisible by 11.,4
"In a deck of 52 playing cards, what's the probability of drawing a royal flush (10, Jack, Queen, King, Ace of the same suit) in five consecutive draws without replacement? Express your answer as a decimal rounded to 8 decimal places.",3
Let R be the ring of all functions from Z to Z under pointwise addition and multiplication. Show that R has no non-trivial idempotent elements other than the constant functions 0 and 1.,7
"Six fair dice are rolled simultaneously. What's the probability, expressed as a percentage, that the sum of all dice is exactly 21?",3
"Show that the fundamental group of the torus T² is isomorphic to Z × Z, where Z is the group of integers under addition.",7
For what minimum positive integer value of p does the system below have precisely one solution?  \[ \left\{\begin{array}{l} \frac{v}{p-\ln(q)-1}=5 \\ v=\frac{\ln(q)+6}{\ln(q)+2} \end{array}\right. \],0
"A cylindrical water tank is being filled at a rate such that at time t hours, its volume is 2t^3 cubic meters. At what rate, in cubic meters per hour, is the height of the water in the tank increasing when the volume is 54 cubic meters? Assume the tank has a radius of 3 meters.",2
"A particle moves along a curve defined by x(t) = t^3 - 3t and y(t) = t^2 - 1. Determine the maximum distance between any two points on this curve for t in the interval [-2, 2].",2
"Consider a 4x4 grid. How many distinct paths can be drawn from the top-left corner to the bottom-right corner if you can only move right or down, and must avoid stepping on any of 3 randomly placed obstacles on the grid?",5
"A company produces two types of products. Product A requires 2 hours of labor and 3 units of material, while Product B requires 3 hours of labor and 2 units of material. If the company has 100 hours of labor and 120 units of material available, which of the following represents the constraint equations and a valid solution? (A) 2x + 3y ≤ 100, 3x + 2y ≤ 120; x = 20, y = 30 (B) 2x + 3y ≤ 100, 3x + 2y ≤ 120; x = 30, y = 20 (C) 2x + 3y = 100, 3x + 2y = 120; x = 25, y = 25 (D) 2x + 3y ≤ 100, 3x + 2y ≤ 120; x = 40, y = 0 (E) The system has no feasible solution",6
"In a game, a fair six-sided die is rolled repeatedly until a 6 appears. What is the expected number of rolls needed to complete the game?",3
For what value of $k$ does the function $g(x) = e^{kx} + \ln(x^2 + 1)$ have exactly one local extremum?,2
"Let R be the ring of continuous functions from the real line to itself. Prove that R has no non-trivial idempotent elements (i.e., the only idempotents are 0 and 1).",7
"In a deck of 52 cards, a player draws cards one at a time without replacement. What's the expected number of cards drawn before getting all four aces? Give your answer rounded to the nearest whole number.",3
"A linear transformation T maps vector (1, 2) to (3, 5) and vector (0, 1) to (x, y). If T is invertible and x and y are integers, how many possible values are there for det(T)?",6
"Let X be a connected topological space and f: X → Y a continuous surjection, where Y is equipped with the discrete topology. Prove that Y must be a singleton set.",7
"Find the area of the surface generated by rotating the curve x = y^3 - 3y, from y = 0 to y = 2, about the y-axis.",2
"Find all positive integer values of k for which $\lfloor\sqrt{k^2+1}\rfloor - \lfloor\sqrt{k^2}\rfloor = 1$, where $\lfloor x \rfloor$ denotes the floor function.",4
"Calculate the double integral of f(x,y) = xy / (x^2 + y^2)^2 over the region R defined by 1 ≤ x^2 + y^2 ≤ 4 in the first quadrant.",2
"Find all pairs of positive integers (a, b) such that a is prime, b is a perfect square, and a² + b² is also a perfect square.",4
"Find all positive integer values of k that satisfy the equation $\lfloor \sqrt{k^2 + 1} \rfloor - \lfloor \sqrt{k^2} \rfloor = 1$, where $\lfloor x \rfloor$ denotes the floor function.",4
"A chess club has 20 members numbered from 1 to 20. They want to form teams of 5 players each for a tournament. However, no team can have two players whose numbers differ by exactly 3. How many different ways can they form 4 teams?",5
"Consider a Markov chain with n states, where n is prime. If the transition matrix P has characteristic polynomial equal to x^n - 1, find the trace of P^(n-1).",6
What is the largest prime factor of the product of all two-digit numbers?,4
"A quality control manager inspects electronic components. The time (in hours) until a component fails follows an exponential distribution with parameter λ. If Y is the cube root of this time, find the probability density function of Y.",3
"In a deck of 52 playing cards, how many ways are there to select 7 cards such that the sum of their face values is even? (Assume Ace = 1, Jack = 11, Queen = 12, King = 13)",5
Let A be an n × n matrix where each entry a_ij is given by |i - j| + 1. Calculate the determinant of A in terms of n.,6
A right circular cone has a height of 12 cm and a base radius of 5 cm. A sphere is inscribed in the cone so that it touches the base of the cone and is tangent to the lateral surface. What is the radius of the sphere?,1
"A conical sand pile is being formed as sand falls from a conveyor belt. If the height h of the pile is always equal to the radius r of its circular base, and the volume increases at a constant rate of 12π cubic meters per minute, how fast is the height increasing when h = 3 meters?",2
Consider an n × n matrix C where c_ij = sin(πij/n). Prove or disprove that C is always invertible for odd values of n.,6
"If you multiply all the prime factors of 210, what is the result?",4
"Given a set of n distinct real numbers {a_1, a_2, ..., a_n} between 0 and 1, inclusive, what is the maximum possible value of the sum of all pairwise differences squared, i.e., Σ(a_i - a_j)^2 for all i < j?",2
"In a social network, each person is represented by a node, and friendships are represented by edges between nodes. The ""friendship distance"" between two people is the minimum number of edges in a path connecting them. In a network of 1000 people, what's the expected number of pairs of people with a friendship distance of exactly 4, given that each possible edge exists independently with probability 0.01?",5
"Define q(x,y) = e^(-1/(x^2+y^2)) when (x,y) ≠ (0,0), and q(0,0) = 0. Show that q is differentiable at (0,0) and find its gradient at this point.",2
"Find the absolute minimum of the function $g(t) = \arctan(2t^2 - 4t + 4) + \sqrt{t^2 - 10t + \log_3^2(t+1) - 2t\log_3(t+1) + 3\log_3(t+1) + 30}$ on the interval [1, 5].",2
Let p(n) denote the product of the distinct prime factors of n. How many integers k between 1 and 200 satisfy k = p(k)?,4
"A deck of 52 cards contains 13 hearts. If you draw 3 cards without replacement, what is the probability that all of them are hearts? Express your answer as a simplified fraction.",3
"On the surface of a unit sphere, how many great circles can be drawn through n randomly chosen points, no three of which are coplanar? Express your answer as a function of n.",1
"For a positive integer n, let d(n) be the number of its positive divisors. What is the largest value of n ≤ 1000 for which d(n) is a prime number?",4
"In a standard 52-card deck, cards are drawn without replacement until the sum of their face values (Ace=1, Jack=11, Queen=12, King=13) exceeds 100. What is the expected number of cards drawn?",5
"Given a continuous function f from the closed interval [0,1] to itself, prove that there exists a point x in [0,1] such that f(x) = x.",7
"The lifetime of a certain electronic component follows an exponential distribution with rate parameter λ. If an engineer decides to model the decay rate Y = -ln(X)/t instead, where X is the original lifetime and t is a fixed time constant, what is the resulting distribution of Y?",3
"A card game uses a special deck of 30 cards, with 5 different colors and 6 cards of each color. Players draw cards one at a time without replacement. The game ends when a player has drawn 3 cards of different colors or when all cards are drawn. What is the probability, expressed as a decimal rounded to 4 places, that all cards will be drawn before the game ends?",3
"In a deck of 52 playing cards, you draw cards one at a time without replacement until you get four cards of the same suit. What's the probability that the fourth card you draw is the one that completes the suit?",5
"Given a topological space X and a continuous function f: X → X, show that if X is compact and Hausdorff, and f is bijective, then f is a homeomorphism.",7
"In a social network with n users, create an n × n matrix S where S[i, j] is the shortest path length between users i and j. If there's no path, set S[i, j] = ∞. What's the probability that a randomly chosen entry in S equals 2, given that the network follows an Erdős-Rényi model with edge probability p?",6
"Let H be the n × n Hadamard matrix of order n = 2^k, where k ≥ 2. If D is a diagonal matrix with entries d_ii = i, calculate the trace of (H^T D H)^(-1), where H^T is the transpose of H.",6
"Given a 3 × 3 rotation matrix R representing a rotation around the z-axis by an angle θ, and a vector v = (1, 1, 1), find the value of θ for which the dot product of v and Rv is maximized.",6
Consider all possible outcomes when rolling 5 six-sided dice. For how many outcomes is the median value of the roll equal to the arithmetic mean of the smallest and largest values rolled?,5
"A linear transformation T maps vector (1, 2) to (3, 5) and vector (0, 1) to (2, a). Determine the number of integer values of 'a' for which the determinant of the transformation matrix is equal to 2023.",6
"Find the work done in pumping water out of a conical tank with height 10 meters and radius 4 meters at the top, if the density of water is 1000 kg/m^3 and g = 9.8 m/s^2.",2
"Given a continuous function f from a compact metric space X to a metric space Y, prove that f is uniformly continuous on X.",7
A right circular cone has a height of 15 cm and a base radius of 8 cm. Find the angle between the cone's lateral surface and its base.,1
A fair six-sided die is rolled repeatedly until the sum of all rolls exceeds 20. What is the probability that the final roll is an even number?,3
Let f(n) be the number of divisors of n. How many integers k between 1 and 200 (inclusive) satisfy k = f(k^2)?,4
"Given a compact Hausdorff space X and a continuous function f: X → X, show that if f is surjective, then f is a homeomorphism.",7
A 6-sided die is rolled repeatedly until a 6 appears. What's the probability that the number of rolls is odd? Express your answer as a decimal rounded to four places.,5
"For a real n×n matrix A, define its exponential as exp(A) = Σ(A^k / k!) where k goes from 0 to infinity. Prove that if AB = BA, then exp(A+B) = exp(A)exp(B).",6
"Let f(x,y) = (x^2y - xy^2) / (x^2 + y^2) when (x,y) ≠ (0,0), and f(0,0) = 0. Determine if f is differentiable at (0,0).",2
"For a particle moving along a curve defined by r(t) = <sin(t), cos(t), t> where t ∈ [0, 2π], calculate the total curvature of its path.",2
"A parabolic mirror with focal length f is used in a solar energy collector. The cross-section of the mirror forms a parabola y = ax². A ray of light parallel to the axis of symmetry strikes the mirror at point P(2, 8). Find the equation of the reflected ray and the coordinates where it intersects the focal axis. If the efficiency of the collector decreases proportionally to the square of the distance from P to the focus, express the efficiency as a function of x-coordinate of P.",1
"Consider an e × e matrix Q where the element in position (r, s) is defined as cos(πr/s) if r < s, and sin(πs/r) otherwise. Compute the sum of all eigenvalues of Q * Q^T, where Q^T is the transpose of Q.",6
"A fair six-sided die is rolled repeatedly. What is the probability, expressed as a percentage, that the product of the first four rolls equals 12!?",5
"A 4x4 grid is filled with the digits 1 through 4, with each digit appearing exactly once in each row and column. If the sum of digits in the main diagonal is greater than the sum in any other row, column, or the other diagonal, how many possible arrangements exist?",5
A fair six-sided die is rolled repeatedly until the running product of the results exceeds 100. What is the probability that the number of rolls is odd?,3
"A deck of 52 cards is shuffled. Cards are drawn one at a time without replacement until either all four Aces have been drawn or 10 cards have been drawn, whichever comes first. What is the probability that exactly 10 cards will be drawn? Express your answer as a decimal rounded to four decimal places.",3
Three six-sided dice are rolled simultaneously. What is the probability that the sum of the numbers shown is a prime number? Provide your answer as a simplified fraction.,3
"A discrete random variable Z follows a Poisson distribution with mean λ. Determine the probability mass function of W, where W = Z^2 + 1.",3
"In a social network analysis, connections between users are represented by an adjacency matrix A. If A[i][j] = 1 when user i follows user j, and 0 otherwise, what does (A^T * A)[i][j] represent? Explain the meaning of this value in the context of the social network.",6
"A machine learning algorithm's prediction error ε is normally distributed with mean 0 and standard deviation σ. If P(|ε| ≤ 2σ) = 0.9544, find the value of P(ε > σ) to three decimal places.",3
"For a set of n data points (xi, yi) where xi and yi are real numbers in [0, 1], what is the minimum achievable sum of squared vertical distances between the points and a line y = mx + c?",2
"For an n×n matrix A, define its trace norm as the sum of the absolute values of its eigenvalues. If A and B are n×n matrices, prove that the trace norm of AB is less than or equal to the product of the trace norms of A and B.",6
"Let u = (cos θ, sin θ) and v = (-sin θ, cos θ) be two vectors in R². Find all values of θ in the interval [0, 2π) for which the area of the parallelogram formed by 3u and 2v is equal to 5 square units.",6
"Given an n×n Vandermonde matrix V with v_ij = (i/n)^(j-1) for i,j=1,2,...,n, find the limit of det(V) as n approaches infinity.",6
"A deck of 52 cards contains 13 cards of each suit (hearts, diamonds, clubs, spades). Cards are drawn one at a time without replacement. What is the probability that the third heart is drawn on the 20th draw? Express your answer as a decimal rounded to four decimal places.",3
"In a chemical reaction, the concentrations of two substances A and B are related by the equations: 2A - 3B = 5 4A + B = 13 What is the concentration of substance A? (A) 2 (B) 3 (C) 4 (D) 5 (E) The concentrations cannot be uniquely determined",6
"Let G be a finite group and H a normal subgroup of G. Prove that if the order of H and the index of H in G are coprime, then H is the only subgroup of G of its order.",7
"Let H be the n × n Hadamard matrix defined recursively as H_1 = [1] and H_n = [H_(n-1), H_(n-1); H_(n-1), -H_(n-1)]. Prove that H_n is orthogonal and find its determinant for any n that is a power of 2.",6
"Given matrices A = [[3, -1], [2, 4]] and B = [[x, 2], [1, y]], find the number of integer pairs (x, y) that satisfy det(AB) = 50.",6
Let R be the ring of all functions from Z to Z. Prove that R has no non-trivial two-sided ideals.,7
"Determine the critical points of $f(x) = \arctan(3x^2 - 2x) + \arcsin(\frac{1}{x^2 + 1})$ and classify them as local maxima, local minima, or neither.",2
"In a 3D coordinate system, three vectors are given: a⃗ = (1, 2, -1), b⃗ = (3, 0, 2), and c⃗ = (2, -1, 3). Calculate the volume of the parallelepiped formed by these vectors using the scalar triple product. Express your answer as a single integer.",6
"Given the matrix equation AX = B, where: A = [2 1; 3 -1] B = [5; 1] What is the value of X? (A) X = [1; 3] (B) X = [2; 1] (C) X = [3; -1] (D) The equation has no solution (E) The equation has infinitely many solutions",6
"Discover all quadruples (a, b, c, d) of positive integers where a, b, and c are consecutive primes, d is prime, and a + b + c = d^2.",4
"Two vectors p = (cos θ, sin θ) and q = (x, y) form a parallelogram with an area of 5 square units. How many integer pairs (x, y) satisfy this condition if θ = π/6?",6
"Given the function p(x,y) = xy * ln(x^2 + y^2) for (x,y) ≠ (0,0), and p(0,0) = 0, investigate the existence of partial derivatives of p at the origin.",2
"In a social network analysis, a connection matrix C is created where C_ij represents the strength of connection between users i and j. If C_ij = (i+j)^2 / (i*j), what is the trace of C for a 5 × 5 matrix?",6
"Given a 4 × 4 matrix P where P_ij = sin(πi/j) for i, j ∈ {1, 2, 3, 4}, determine the trace of P^2 (P squared).",6
"A 4x4 grid is filled with the digits 1 through 4, each appearing exactly four times. If the sum of each row and column must be 10, and the digit in the top-left corner is 1, how many valid arrangements are possible?",5
"Consider a random variable X following a uniform distribution over [0, 1]. Define h(X) = ⌈eˣ⌉, where ⌈x⌉ denotes the ceiling function. What is the expected value of h(X)?",3
A manufacturing process produces items with lengths that follow a gamma distribution with shape parameter k = 3 and scale parameter θ = 2. What is the expected value of the cube root of the length of a randomly selected item?,3
"In a vector space V, vectors u and v satisfy: 3u + 2v = (9, 6) -u + 5v = (7, 13) Which of the following is true? A) u = (1, 2) and v = (3, 1) B) u = (2, 1) and v = (1, 2) C) u = (3, 2) and v = (0, 1) D) The system has no solution in V E) There are infinitely many solutions in V",6
"In a bag of 30 marbles, 12 are red, 10 are blue, and 8 are green. If you select 2 marbles at random, what's the probability they will be different colors? Give your answer as a simplified fraction.",3
"A continuous random variable Z follows a Laplace distribution with probability density function f(z) = (1/2b)exp(-|z-μ|/b), where μ is the location parameter and b > 0 is the scale parameter. Determine the cumulative distribution function F(z) for Z.",3
"A computer program generates random permutations of the letters A, B, C, D, E, F, G, H. What's the expected number of pairs of adjacent letters in alphabetical order in a permutation? (For example, in ACBFHEGD, there are two such pairs: AB and GH)",5
"Given the matrix equation AX = B, where A = [[2, 1], [1, 3]] and B = [[4], [5]], what is the solution vector X? Choose from: (A) [[1], [2]], (B) [[2], [1]], (C) [[3], [-1]], (D) No solution exists, (E) Infinitely many solutions exist",6
"A deck of 52 cards contains 4 aces. If you draw 3 cards without replacement, what is the probability of drawing at least one ace?",3
"A data scientist is analyzing the number of daily active users (DAU) for a mobile app. The DAU follows a Poisson distribution with a mean of 10,000. Calculate the probability of observing more than 10,500 daily active users on a given day. Express your answer as a percentage to two decimal places.",3
"Find the length of the curve described by r = e^(θ) in polar coordinates, where θ ranges from 0 to 2π.",2
"Consider an $n \times n$ matrix $A$ where each entry $a_{ij}$ is given by $a_{ij} = \max(i,j)$. If $n=4$, calculate the determinant of $A$.",6
Prove that the fundamental group of the torus $T^2$ is isomorphic to $\mathbb{Z} \times \mathbb{Z}$.,7
"A company's profit P (in thousands of dollars) depends on the production quantities x, y, and z of three products according to the equation P = 2x + 3y + 4z. If the production is constrained by 2x + y + z ≤ 100 and x + y + 2z ≤ 80, use the method of Lagrange multipliers to find the maximum possible profit.",6
"Let p(n) represent the product of all prime factors of n. How many integers from 1 to 200 satisfy the equation n = p(n) + φ(n), where φ(n) is Euler's totient function?",4
"Given f(x,y) = (x^2y - xy^2) / (x^2 + y^2) for (x,y) ≠ (0,0), and f(0,0) = 0, determine if f is differentiable at (0,0).",2
Prove that the intersection of any collection of connected subspaces of a topological space X is connected.,7
